Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll,attentive
235704, L,355.0654,261.9356,347.1928,0
235717, L,355.1156,263.7017,346.5856,0
235740, L,354.9759,264.0828,346.3452,0
235756, L,354.8705,264.6117,346.1995,0
235774, L,354.8314,265.1814,345.9601,0
235787, L,354.8164,265.7635,345.7342,0
235801, L,354.669,267.0632,345.262,0
235824, L,354.3167,267.6108,345.0794,0
235841, L,354.0383,268.2727,344.8784,0
235857, L,353.8558,268.8698,344.7412,0
235871, L,353.7569,269.4455,344.5834,0
235885, L,353.4844,270.5489,344.253,0
235907, L,353.2873,270.9954,344.1166,0
235924, L,353.0668,271.5071,344.0176,0
235940, L,352.8466,272.0225,343.8909,0
235954, L,352.7099,272.4683,343.8008,0
235968, L,352.4467,273.4226,343.5457,0
235990, L,352.3752,273.7072,343.4409,0
236007, L,352.2278,274.078,343.3189,0
236024, L,352.0866,274.4812,343.2011,0
236038, L,351.9742,274.8656,343.1347,0
236052, L,351.7755,275.6203,342.9576,0
236074, L,351.7665,275.7183,342.9948,0
236090, L,351.7371,275.9199,342.9087,0
236107, L,351.6913,276.1441,342.8487,0
236121, L,351.6859,276.4549,342.7822,0
236135, L,351.6343,277.0286,342.6703,0
236157, L,351.7491,277.2401,342.6232,0
236174, L,351.8497,277.4095,342.6064,0
236191, L,351.8498,277.5507,342.6237,0
236205, L,351.7832,277.7172,342.5893,0
236219, L,351.7573,278.0742,342.5094,0
236240, L,351.6789,278.2321,342.547,0
236256, L,351.6493,278.3452,342.601,0
236274, L,351.6812,278.4472,342.5967,0
236289, L,351.6886,278.5752,342.6023,0
236303, L,351.6938,278.7991,342.5871,0
236324, L,351.6966,278.8015,342.5388,0
236340, L,351.6187,278.8729,342.5471,0
236357, L,351.5446,278.9972,342.5139,0
236372, L,351.4709,279.1384,342.5168,0
236386, L,351.435,279.3944,342.4977,0
236400, L,351.4157,279.5152,342.5161,0
236423, L,351.4445,279.5856,342.4961,0
236442, L,351.4329,279.6288,342.4727,0
236456, L,351.3858,279.7804,342.4245,0
236470, L,351.3433,279.8258,342.4842,0
236493, L,351.2838,279.8135,342.5086,0
236509, L,351.2596,279.8167,342.5479,0
236526, L,351.2333,279.7768,342.5652,0
236539, L,351.2151,279.7602,342.5539,0
